Namespace(model='pctrope', exp_name='train_pctrope', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=100, use_sgd=True, lr=5e-05, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=512, dropout=0.5, model_path='', local_rank=0, cuda=True)
Test 68, loss: 1.584208, test acc: 0.881068, test avg acc: 0.804925
Train 69, loss: 1.596961, train acc: 0.897672, train avg acc: 0.841119
Test 69, loss: 1.584095, test acc: 0.876214, test avg acc: 0.788446
Train 70, loss: 1.581892, train acc: 0.905025, train avg acc: 0.851572
Test 70, loss: 1.580870, test acc: 0.871359, test avg acc: 0.786132
Train 71, loss: 1.579354, train acc: 0.909314, train avg acc: 0.851152
Test 71, loss: 1.578780, test acc: 0.876214, test avg acc: 0.792498
Train 72, loss: 1.572165, train acc: 0.909926, train avg acc: 0.852991
Test 72, loss: 1.576021, test acc: 0.871359, test avg acc: 0.785586
Train 73, loss: 1.582026, train acc: 0.897059, train avg acc: 0.836136
Test 73, loss: 1.575989, test acc: 0.873786, test avg acc: 0.794269
Train 74, loss: 1.558699, train acc: 0.914216, train avg acc: 0.860342
Test 74, loss: 1.571795, test acc: 0.878641, test avg acc: 0.790727
Train 75, loss: 1.569468, train acc: 0.912990, train avg acc: 0.857380
Test 75, loss: 1.573078, test acc: 0.871359, test avg acc: 0.792450
Train 76, loss: 1.577259, train acc: 0.908701, train avg acc: 0.852556
Test 76, loss: 1.571828, test acc: 0.868932, test avg acc: 0.791811
Train 77, loss: 1.585588, train acc: 0.898897, train avg acc: 0.850739
Test 77, loss: 1.575236, test acc: 0.871359, test avg acc: 0.792450
Train 78, loss: 1.573898, train acc: 0.907475, train avg acc: 0.863356
Test 78, loss: 1.567689, test acc: 0.881068, test avg acc: 0.798887
Train 79, loss: 1.571715, train acc: 0.904412, train avg acc: 0.844423
Test 79, loss: 1.571630, test acc: 0.878641, test avg acc: 0.797325
Train 80, loss: 1.581391, train acc: 0.901961, train avg acc: 0.843657
Test 80, loss: 1.576111, test acc: 0.883495, test avg acc: 0.800623
Train 81, loss: 1.565106, train acc: 0.908701, train avg acc: 0.857175
Test 81, loss: 1.573569, test acc: 0.873786, test avg acc: 0.787068
Train 82, loss: 1.560282, train acc: 0.921569, train avg acc: 0.875455
