Input points: 256
Block 3: 3.871592
Block 0: 4.842537
Block 1: 4.798607
Block 2: 4.394740
Block 3: 4.106575
Block 0: 4.840280
Block 1: 4.776285
Block 2: 4.344783
Block 3: 3.944212
Block 0: 4.842430
Block 1: 4.775928
Block 2: 4.260274
Block 3: 3.648917
Block 0: 4.841353
Block 1: 4.784800
Block 2: 4.179323
Block 3: 3.714541
Block 0: 4.840451
Block 1: 4.759964
Block 2: 4.214656
Block 3: 3.585633
Block 0: 4.842113
Block 1: 4.776431
Block 2: 4.320585
Block 3: 3.833329
Block 0: 4.842850
Block 1: 4.777556
Block 2: 4.266155
Block 3: 3.764865
Block 0: 4.841324
Block 1: 4.767607
Block 2: 4.313925
Block 3: 3.789536
Block 0: 4.839241
Block 1: 4.767843
Block 2: 4.258638
Block 3: 3.751959
Block 0: 4.843551
Block 1: 4.780233
Block 2: 4.292782
Block 3: 3.769752
Block 0: 4.843824
Block 1: 4.787601
Block 2: 4.352878
Block 3: 3.863764
Block 0: 4.840823
Block 1: 4.765616
Block 2: 4.275855
Block 3: 3.823770
Block 0: 4.842619
Block 1: 4.772707
Block 2: 4.355512
Block 3: 3.804609
Block 0: 4.838423
Block 1: 4.762696
Block 2: 4.125584
Block 3: 3.761771
Block 0: 4.836762
Block 1: 4.779117
Block 2: 4.114275
Block 3: 3.895910
Block 0: 4.842580
Block 1: 4.773334
Block 2: 4.331055
Block 3: 3.859169
Block 0: 4.842017
Block 1: 4.783387
Block 2: 4.154659
Block 3: 3.877765
Block 0: 4.838629
Block 1: 4.753919
Block 2: 4.243702
Block 3: 3.682826
Block 0: 4.841093
Block 1: 4.761702
Block 2: 4.234209
Block 3: 3.749707
Block 0: 4.841371
Block 1: 4.775439
Block 2: 4.235514
Block 3: 3.803818
Block 0: 4.841644
Block 1: 4.765538
Block 2: 4.255004
Block 3: 3.680686
Block 0: 4.841316
Block 1: 4.771029
Block 2: 4.139318
Block 3: 3.864321
Block 0: 4.840687
Block 1: 4.760132
Block 2: 4.321700
Block 3: 3.800802
Block 0: 4.843630
Block 1: 4.788770
Block 2: 4.312785
Block 3: 3.902014
Block 0: 4.840024
Block 1: 4.774755
Block 2: 4.187220
Block 3: 3.828156
Block 0: 4.839420
Block 1: 4.764544
Block 2: 4.167948
Block 3: 3.751860
Block 0: 4.841010
Block 1: 4.757233
Block 2: 4.312916
Block 3: 3.739447
Block 0: 4.840788
Block 1: 4.767459
Block 2: 4.267180
Block 3: 3.728316
Block 0: 4.837312
Block 1: 4.748279
Block 2: 4.194308
Block 3: 3.649169
Block 0: 4.842669
Block 1: 4.774323
Block 2: 4.304037
Block 3: 3.900879
Block 0: 4.837655
Block 1: 4.727818
Block 2: 4.113959
Block 3: 3.454683
Block 0: 4.844985
Block 1: 4.794499
Block 2: 4.321241
Block 3: 3.849911
Block 0: 4.838284
Block 1: 4.755645
Block 2: 4.225151
Block 3: 3.636185
Block 0: 4.841986
Block 1: 4.775418
Block 2: 4.312776
Block 3: 3.888478
Block 0: 4.841966
Block 1: 4.772184
Block 2: 4.082625
Block 3: 3.657066
Block 0: 4.841974
Block 1: 4.769255
Block 2: 4.191411
Block 3: 3.708205
Block 0: 4.840231
Block 1: 4.764895
Block 2: 4.246733
Block 3: 3.686601
Block 0: 4.843403
Block 1: 4.775929
Block 2: 4.265809
Block 3: 3.874234
Block 0: 4.842642
Block 1: 4.782608
Block 2: 4.255011
Block 3: 3.748049
Block 0: 4.841969
Block 1: 4.766017
Block 2: 4.264504
Block 3: 3.706677
Block 0: 4.842472
Block 1: 4.771992
Block 2: 4.297182
Block 3: 3.874629
Block 0: 4.845034
Block 1: 4.791501
Block 2: 4.356718
Block 3: 3.930773
Block 0: 4.845382
Block 1: 4.791317
Block 2: 4.256304
Block 3: 3.768996
