Input points: 256
Block 0: 3.259068
Block 1: 4.108666
Block 2: 3.425069
Block 3: 4.473810
Block 0: 3.629476
Block 1: 3.936898
Block 2: 3.802258
Block 3: 4.517989
Block 0: 3.392642
Block 1: 4.751436
Block 2: 3.412008
Block 3: 4.301414
Block 0: 3.389470
Block 1: 4.240619
Block 2: 3.819350
Block 3: 4.666649
Block 0: 3.852918
Block 1: 4.659369
Block 2: 4.053231
Block 3: 4.899344
Block 0: 3.078632
Block 1: 4.358563
Block 2: 3.583309
Block 3: 4.365135
Block 0: 3.353252
Block 1: 3.811025
Block 2: 3.122964
Block 3: 4.239300
Block 0: 3.127796
Block 1: 4.218188
Block 2: 3.532619
Block 3: 4.297456
Block 0: 3.381757
Block 1: 4.501449
Block 2: 3.719191
Block 3: 4.504777
Block 0: 3.957048
Block 1: 4.575481
Block 2: 3.839305
Block 3: 4.687333
Block 0: 3.742524
Block 1: 4.214744
Block 2: 3.820261
Block 3: 4.709653
Block 0: 3.693061
Block 1: 4.434400
Block 2: 3.813284
Block 3: 4.939078
Block 0: 4.148845
Block 1: 4.468101
Block 2: 3.703873
Block 3: 4.317028
Block 0: 3.524756
Block 1: 4.644561
Block 2: 3.448454
Block 3: 4.452539
Block 0: 3.744212
Block 1: 4.691368
Block 2: 3.989329
Block 3: 4.662753
Block 0: 3.322231
Block 1: 3.983388
Block 2: 3.421603
Block 3: 4.314168
Block 0: 3.263957
Block 1: 4.272202
Block 2: 3.511923
Block 3: 4.630399
Block 0: 3.438717
Block 1: 3.979876
Block 2: 3.265221
Block 3: 4.149835
Block 0: 3.647676
Block 1: 4.534573
Block 2: 3.701034
Block 3: 4.709902
Block 0: 3.665590
Block 1: 4.479835
Block 2: 3.854064
Block 3: 4.820465
Block 0: 3.509534
Block 1: 4.474729
Block 2: 3.570755
Block 3: 4.640613
Block 0: 3.561534
Block 1: 4.530506
Block 2: 3.769544
Block 3: 4.778973
Block 0: 3.314447
Block 1: 4.573637
Block 2: 3.588798
Block 3: 4.577919
Block 0: 3.554141
Block 1: 4.292237
Block 2: 3.757975
Block 3: 4.507838
Block 0: 3.933343
Block 1: 4.421917
Block 2: 3.918429
Block 3: 4.449713
Block 0: 3.763203
Block 1: 4.466723
Block 2: 4.131886
Block 3: 4.591466
Block 0: 3.316024
Block 1: 4.131248
Block 2: 3.518087
Block 3: 4.797445
Block 0: 3.536204
Block 1: 4.314757
Block 2: 3.935571
Block 3: 4.620900
Block 0: 3.632870
Block 1: 4.772744
Block 2: 3.941589
Block 3: 4.505911
Block 0: 3.609454
Block 1: 4.202131
Block 2: 3.629593
Block 3: 4.639993
Block 0: 3.534682
Block 1: 4.730049
Block 2: 3.443273
Block 3: 4.547822
Block 0: 3.183057
Block 1: 4.212316
Block 2: 3.567294
Block 3: 4.363841
Block 0: 3.379217
Block 1: 4.386807
Block 2: 3.583149
Block 3: 4.091624
Block 0: 4.169250
Block 1: 4.395071
Block 2: 4.133983
Block 3: 4.762569
Block 0: 3.845942
Block 1: 4.544429
Block 2: 3.986258
Block 3: 4.834959
Block 0: 3.717953
Block 1: 4.363318
Block 2: 3.800772
Block 3: 4.999792
Block 0: 3.267327
Block 1: 4.166018
Block 2: 3.288205
Block 3: 4.319416
Block 0: 3.531803
Block 1: 4.309934
Block 2: 3.758028
Block 3: 4.824706
Block 0: 3.653128
Block 1: 4.691738
Block 2: 3.845336
Block 3: 4.768656
Block 0: 3.466959
Block 1: 5.069922
Block 2: 3.996009
Block 3: 4.897680
Block 0: 3.854634
Block 1: 4.677786
Block 2: 4.216098
Block 3: 4.580004
Block 0: 3.776690
Block 1: 4.500485
Block 2: 4.075192
Block 3: 5.093877
Block 0: 3.426416
Block 1: 4.378767
Block 2: 3.554929
Block 3: 4.534013
Block 0: 3.071844
Block 1: 4.282449
Block 2: 3.277952
Block 3: 3.909463
Block 0: 3.684556
Block 1: 4.217399
Block 2: 3.640656
Block 3: 4.842565
Block 0: 3.761429
Block 1: 4.486468
Block 2: 3.885134
Block 3: 4.826134
Block 0: 3.563508
Block 1: 4.372015
Block 2: 3.981433
Block 3: 4.789669
Block 0: 3.725172
Block 1: 4.398029
Block 2: 3.946634
Block 3: 4.896146
Block 0: 3.406358
Block 1: 4.250316
Block 2: 3.586045
Block 3: 4.797071
Block 0: 3.703419
Block 1: 4.501974
Block 2: 4.209464
Block 3: 5.004496
Block 0: 3.995464
Block 1: 4.321178
Block 2: 4.043558
Block 3: 4.662088
Block 0: 3.582265
Block 1: 4.316276
Block 2: 3.737902
Block 3: 4.570309
Block 0: 3.526855
Block 1: 4.177157
Block 2: 3.692858
Block 3: 4.657148
Block 0: 3.080924
Block 1: 4.122058
Block 2: 3.580485
Block 3: 4.648999
Block 0: 3.774360
Block 1: 4.070100
Block 2: 3.634216
Block 3: 4.510960
Block 0: 3.336104
Block 1: 3.964713
Block 2: 3.290544
Block 3: 4.647370
Block 0: 3.786757
Block 1: 4.463049
Block 2: 3.966632
Block 3: 4.793246
Block 0: 3.747779
Block 1: 4.308247
Block 2: 4.016561
