Input points: 256
Block 1: 0.667099
Block 2: 0.477122
Block 3: 0.114944
Block 0: 1.830366
Block 1: 0.650004
Block 2: 0.389245
Block 3: 0.042742
Block 0: 1.803554
Block 1: 0.726895
Block 2: 0.481614
Block 3: 0.123108
Block 0: 1.871715
Block 1: 0.712788
Block 2: 0.355311
Block 3: 0.147957
Block 0: 1.706940
Block 1: 0.691258
Block 2: 0.438259
Block 3: 0.060455
Block 0: 1.764659
Block 1: 0.683321
Block 2: 0.385768
Block 3: 0.079236
Block 0: 1.806339
Block 1: 0.782849
Block 2: 0.469462
Block 3: 0.119742
Block 0: 1.997520
Block 1: 0.639997
Block 2: 0.439505
Block 3: 0.181667
Block 0: 1.793806
Block 1: 0.625321
Block 2: 0.414232
Block 3: 0.193934
Block 0: 1.755972
Block 1: 0.703139
Block 2: 0.499214
Block 3: 0.059216
Block 0: 1.797889
Block 1: 0.656247
Block 2: 0.589456
Block 3: 0.096654
Block 0: 1.518239
Block 1: 0.752800
Block 2: 0.454486
Block 3: 0.165524
Block 0: 1.769874
Block 1: 0.749637
Block 2: 0.421887
Block 3: 0.062139
Block 0: 1.813127
Block 1: 0.744868
Block 2: 0.428560
Block 3: 0.112786
Block 0: 1.846563
Block 1: 0.777405
Block 2: 0.534706
Block 3: 0.110602
Block 0: 2.044837
Block 1: 0.712711
Block 2: 0.436444
Block 3: 0.089078
Block 0: 2.068643
Block 1: 0.733678
Block 2: 0.551476
Block 3: 0.176320
Block 0: 2.012336
Block 1: 0.696590
Block 2: 0.509192
Block 3: 0.194740
Block 0: 1.751178
Block 1: 0.771071
Block 2: 0.480826
Block 3: 0.114892
Block 0: 1.905588
Block 1: 0.548965
Block 2: 0.447003
Block 3: 0.080719
Block 0: 1.983667
Block 1: 0.744055
Block 2: 0.530823
Block 3: 0.123422
Block 0: 1.971758
Block 1: 0.868761
Block 2: 0.546231
Block 3: 0.105476
Block 0: 1.572449
Block 1: 0.618390
Block 2: 0.281215
Block 3: 0.086930
Block 0: 1.988756
Block 1: 0.703437
Block 2: 0.473979
Block 3: 0.038348
Block 0: 1.811545
Block 1: 0.723420
Block 2: 0.474216
Block 3: 0.077575
Block 0: 1.712567
Block 1: 0.596573
Block 2: 0.510343
Block 3: 0.119630
Block 0: 2.043303
Block 1: 0.873253
Block 2: 0.610944
Block 3: 0.177676
Block 0: 1.916740
Block 1: 0.581815
Block 2: 0.486280
Block 3: 0.110412
Block 0: 1.988724
Block 1: 0.734858
Block 2: 0.462345
Block 3: 0.153673
Block 0: 1.937531
Block 1: 0.725620
Block 2: 0.469140
Block 3: 0.051326
Block 0: 1.708089
Block 1: 0.696929
Block 2: 0.494381
Block 3: 0.059858
Block 0: 1.857324
Block 1: 0.791916
Block 2: 0.454642
Block 3: 0.202068
Block 0: 1.754493
Block 1: 0.877347
Block 2: 0.500834
Block 3: 0.128340
Block 0: 1.872752
Block 1: 0.705344
Block 2: 0.540347
Block 3: 0.138247
Block 0: 1.827077
Block 1: 0.704357
Block 2: 0.503092
Block 3: 0.136483
Block 0: 1.922759
Block 1: 0.548657
Block 2: 0.384152
Block 3: 0.161788
Block 0: 1.678539
Block 1: 0.619877
Block 2: 0.441779
Block 3: 0.070033
Block 0: 2.040824
Block 1: 0.706195
Block 2: 0.466633
Block 3: 0.092946
Block 0: 1.902863
Block 1: 0.621408
Block 2: 0.479231
Block 3: 0.163756
Block 0: 1.922791
Block 1: 0.601157
Block 2: 0.509010
Block 3: 0.258688
Block 0: 1.726118
Block 1: 0.591577
Block 2: 0.430693
Block 3: 0.125517
Block 0: 1.808055
Block 1: 0.652940
Block 2: 0.553785
Block 3: 0.079277
Block 0: 1.965516
Block 1: 0.784553
Block 2: 0.604195
Block 3: 0.099846
Block 0: 1.888646
Block 1: 0.718017
Block 2: 0.533073
Block 3: 0.161414
Block 0: 1.835714
Block 1: 0.690339
Block 2: 0.370265
Block 3: 0.108390
Block 0: 1.846658
Block 1: 0.690822
Block 2: 0.452379
Block 3: 0.090290
Block 0: 1.868538
Block 1: 0.694413
Block 2: 0.534986
Block 3: 0.090878
Block 0: 1.719711
Block 1: 0.754025
Block 2: 0.380135
Block 3: 0.047675
Block 0: 2.129507
Block 1: 0.598259
Block 2: 0.678536
Block 3: 0.097292
Block 0: 1.895412
Block 1: 0.740630
Block 2: 0.580531
Block 3: 0.070102
Block 0: 1.856605
Block 1: 0.659956
Block 2: 0.421298
Block 3: 0.077877
Block 0: 1.620954
Block 1: 0.633742
Block 2: 0.393425
Block 3: 0.072664
Block 0: 1.784194
Block 1: 0.865160
Block 2: 0.606597
Block 3: 0.048676
Block 0: 1.750977
Block 1: 0.695566
Block 2: 0.512448
Block 3: 0.068887
Block 0: 1.879584
Block 1: 0.555753
Block 2: 0.458426
Block 3: 0.113844
Block 0: 1.792223
Block 1: 0.717658
Block 2: 0.564489
Block 3: 0.204466
Block 0: 2.110818
Block 1: 0.724097
Block 2: 0.566590
Block 3: 0.176986
Block 0: 1.962540
Block 1: 0.750485
Block 2: 0.695406
Block 3: 0.155965
Block 0: 2.143971
Block 1: 0.843562
Block 2: 0.615109
Block 3: 0.068989
Block 0: 1.682628
Block 1: 0.628392
Block 2: 0.429663
Block 3: 0.053384
Block 0: 1.738254
Block 1: 0.713362
Block 2: 0.626215
Block 3: 0.077925
Block 0: 1.793313
Block 1: 0.845314
Block 2: 0.422785
Block 3: 0.128928
Block 0: 1.918314
Block 1: 0.782250
Block 2: 0.502567
Block 3: 0.201454
Block 0: 1.619678
Block 1: 0.647760
Block 2: 0.540292
Block 3: 0.121775
Block 0: 1.896677
Block 1: 0.595797
Block 2: 0.472498
Block 3: 0.068877
Block 0: 1.969866
Block 1: 0.663152
Block 2: 0.428242
Block 3: 0.114574
Block 0: 1.684525
Block 1: 0.639787
Block 2: 0.418002
Block 3: 0.093415
Block 0: 1.728180
Block 1: 0.594359
Block 2: 0.289367
Block 3: 0.110970
Block 0: 1.862592
Block 1: 0.767777
Block 2: 0.517343
Block 3: 0.187133
Block 0: 2.104495
Block 1: 0.806567
Block 2: 0.590642
Block 3: 0.286204
Block 0: 1.938405
Block 1: 0.775635
Block 2: 0.492484
Block 3: 0.111678
Block 0: 1.829087
Block 1: 0.660132
Block 2: 0.328265
Block 3: 0.079986
Block 0: 1.637449
Block 1: 0.757908
Block 2: 0.374133
Block 3: 0.053917
Block 0: 1.885719
Block 1: 0.562464
Block 2: 0.412496
Block 3: 0.057114
Block 0: 1.752769
Block 1: 0.744714
Block 2: 0.617763
Block 3: 0.142043
Block 0: 1.826033
Block 1: 0.690510
Block 2: 0.525089
Block 3: 0.074570
Block 0: 1.790032
Block 1: 0.730172
Block 2: 0.411482
Block 3: 0.200097
Block 0: 1.781456
Block 1: 0.766645
Block 2: 0.355145
Block 3: 0.097773
Block 0: 2.021593
Block 1: 0.693799
Block 2: 0.464307
Block 3: 0.063510
Block 0: 1.869160
Block 1: 0.732254
Block 2: 0.449346
Block 3: 0.209489
Block 0: 1.949050
Block 1: 0.795157
Block 2: 0.628834
Block 3: 0.054732
Block 0: 1.822869
Block 1: 0.749511
Block 2: 0.493468
Block 3: 0.039342
Block 0: 1.974681
Block 1: 0.688831
Block 2: 0.563113
Block 3: 0.142561
Block 0: 1.642843
Block 1: 0.624237
Block 2: 0.459279
Block 3: 0.118928
Block 0: 2.005664
Block 1: 0.659646
Block 2: 0.507492
Block 3: 0.122610
Block 0: 1.855976
Block 1: 0.757265
Block 2: 0.517052
Block 3: 0.099646
Block 0: 2.026552
Block 1: 0.830477
Block 2: 0.585396
Block 3: 0.177805
Block 0: 2.015891
Block 1: 0.768571
Block 2: 0.510753
Block 3: 0.257551
Block 0: 1.744223
Block 1: 0.845743
Block 2: 0.500295
Block 3: 0.174794
Block 0: 1.777320
Block 1: 0.557739
Block 2: 0.477917
Block 3: 0.013445
Block 0: 1.772861
Block 1: 0.669099
Block 2: 0.473627
Block 3: 0.058088
Block 0: 1.840979
Block 1: 0.706399
Block 2: 0.434734
Block 3: 0.098678
Block 0: 1.886866
Block 1: 0.806416
Block 2: 0.552549
Block 3: 0.109410
Block 0: 1.874234
Block 1: 0.768793
Block 2: 0.463289
Block 3: 0.147362
Block 0: 1.759980
Block 1: 0.567295
Block 2: 0.450477
Block 3: 0.010919
Block 0: 1.906568
Block 1: 0.803419
Block 2: 0.497355
Block 3: 0.117052
Block 0: 1.890961
Block 1: 0.712307
Block 2: 0.381095
Block 3: 0.104253
Block 0: 1.813205
Block 1: 0.760317
Block 2: 0.600314
Block 3: 0.107595
Block 0: 2.018240
Block 1: 0.586553
Block 2: 0.526268
Block 3: 0.099297
Block 0: 1.783066
Block 1: 0.788469
Block 2: 0.388420
Block 3: 0.181675
Block 0: 1.939591
Block 1: 0.768456
Block 2: 0.482438
Block 3: 0.098228
Block 0: 1.727785
Block 1: 0.709880
Block 2: 0.468205
Block 3: 0.066318
Block 0: 1.821178
Block 1: 0.870537
Block 2: 0.414425
Block 3: 0.134361
Block 0: 1.591317
Block 1: 0.709140
Block 2: 0.398546
Block 3: 0.043173
Block 0: 1.979514
Block 1: 0.800031
Block 2: 0.640599
Block 3: 0.255681
Block 0: 2.095601
Block 1: 0.680594
Block 2: 0.569849
Block 3: 0.240377
Block 0: 1.899693
Block 1: 0.845142
Block 2: 0.524609
Block 3: 0.057623
Block 0: 1.924680
Block 1: 0.760938
Block 2: 0.408332
Block 3: 0.071759
Block 0: 1.970378
Block 1: 0.759553
Block 2: 0.515050
Block 3: 0.018204
Block 0: 1.908542
Block 1: 0.712546
Block 2: 0.437479
Block 3: 0.092451
Block 0: 1.732295
Block 1: 0.783531
Block 2: 0.416085
Block 3: 0.122663
Block 0: 1.843244
Block 1: 0.819298
Block 2: 0.447214
Block 3: 0.106460
Block 0: 1.814122
Block 1: 0.620769
Block 2: 0.498170
Block 3: 0.070447
Block 0: 1.780738
Block 1: 0.725952
Block 2: 0.495680
Block 3: 0.076993
Block 0: 1.724228
Block 1: 0.710837
Block 2: 0.409624
Block 3: 0.020564
Block 0: 1.679334
Block 1: 0.710650
Block 2: 0.608841
Block 3: 0.129830
Block 0: 2.070210
Block 1: 0.872448
Block 2: 0.537650
Block 3: 0.092060
Block 0: 1.793509
Block 1: 0.762309
Block 2: 0.499119
Block 3: 0.135224
Block 0: 1.684413
Block 1: 0.561285
Block 2: 0.497545
Block 3: 0.035344
Block 0: 1.653054
Block 1: 0.545906
Block 2: 0.453791
Block 3: 0.100902
Block 0: 1.883298
Block 1: 0.632295
Block 2: 0.435052
Block 3: 0.089610
Block 0: 1.891643
Block 1: 0.674297
Block 2: 0.358313
Block 3: 0.201907
Block 0: 2.001208
Block 1: 0.768781
Block 2: 0.475456
Block 3: 0.143787
Block 0: 1.743242
Block 1: 0.578264
Block 2: 0.423963
Block 3: 0.055337
Block 0: 1.964490
Block 1: 0.736079
Block 2: 0.408436
Block 3: 0.209753
Block 0: 1.821349
Block 1: 0.715255
Block 2: 0.526505
Block 3: 0.079533
Block 0: 2.275769
Block 1: 0.868390
Block 2: 0.579849
Block 3: 0.124312
Block 0: 2.304764
Block 1: 0.725037
Block 2: 0.572302
Block 3: 0.245557
Block 0: 1.928762
Block 1: 0.958239
Block 2: 0.520876
Block 3: 0.158419
Block 0: 1.699895
Block 1: 0.631436
Block 2: 0.421596
Block 3: 0.140152
Block 0: 1.735411
Block 1: 0.581539
Block 2: 0.360903
Block 3: 0.075077
Block 0: 1.889537
Block 1: 0.626689
Block 2: 0.431804
Block 3: 0.183271
Block 0: 2.109017
Block 1: 0.803333
Block 2: 0.697296
Block 3: 0.192911
Block 0: 2.248658
Block 1: 0.620634
Block 2: 0.763985
Block 3: 0.148899
Block 0: 1.748899
Block 1: 0.827782
Block 2: 0.437946
Block 3: 0.062512
Block 0: 1.905402
Block 1: 0.709845
Block 2: 0.594801
Block 3: 0.147518
Block 0: 1.923843
Block 1: 0.723857
Block 2: 0.591063
Block 3: 0.076890
Block 0: 1.705018
Block 1: 0.665459
Block 2: 0.402217
Block 3: 0.067229
Block 0: 1.940446
Block 1: 0.731791
Block 2: 0.508772
Block 3: 0.072747
Block 0: 2.008847
Block 1: 0.670145
Block 2: 0.537277
Block 3: 0.088614
Block 0: 1.561322
Block 1: 0.677894
Block 2: 0.457834
Block 3: 0.130085
Block 0: 1.728025
Block 1: 0.730511
Block 2: 0.500275
Block 3: 0.136720
Block 0: 1.988907
Block 1: 0.758082
Block 2: 0.385598
Block 3: 0.032611
Block 0: 2.009568
Block 1: 0.778310
Block 2: 0.407378
Block 3: 0.286125
Block 0: 1.702667
Block 1: 0.735863
Block 2: 0.607411
Block 3: 0.086555
Block 0: 1.871076
Block 1: 0.807569
Block 2: 0.548264
Block 3: 0.285859
Block 0: 1.857999
Block 1: 0.704141
Block 2: 0.489196
Block 3: 0.085186
Block 0: 1.887773
Block 1: 0.829900
Block 2: 0.537526
Block 3: 0.114403
Block 0: 1.994495
Block 1: 0.780149
Block 2: 0.675848
Block 3: 0.135234
Block 0: 1.710751
Block 1: 0.827072
Block 2: 0.504951
Block 3: 0.081926
Block 0: 1.710122
Block 1: 0.590810
Block 2: 0.450433
Block 3: 0.144377
Block 0: 1.783641
Block 1: 0.684526
Block 2: 0.483729
Block 3: 0.107884
Block 0: 1.777824
Block 1: 0.745953
Block 2: 0.303370
Block 3: 0.029246
Block 0: 1.791304
Block 1: 0.672834
Block 2: 0.433723
Block 3: 0.116980
Block 0: 1.960987
Block 1: 0.712940
Block 2: 0.523590
Block 3: 0.104572
Block 0: 1.808768
Block 1: 0.547145
Block 2: 0.390409
Block 3: 0.151247
Block 0: 2.028356
Block 1: 0.769513
Block 2: 0.530555
Block 3: 0.199544
Block 0: 2.193584
Block 1: 0.838233
Block 2: 0.606942
Block 3: 0.048722
Block 0: 1.860386
Block 1: 0.646132
Block 2: 0.369668
Block 3: 0.112288
Block 0: 1.825624
Block 1: 0.626510
Block 2: 0.461048
Block 3: 0.060442
Block 0: 1.887067
Block 1: 0.475132
Block 2: 0.443485
Block 3: 0.090917
Block 0: 1.753763
Block 1: 0.585187
Block 2: 0.401703
Block 3: 0.082313
Block 0: 1.959200
Block 1: 0.656584
Block 2: 0.391632
Block 3: 0.198752
Block 0: 1.744880
Block 1: 0.546979
Block 2: 0.395337
Block 3: 0.087774
Block 0: 2.017834
Block 1: 0.868488
Block 2: 0.617455
Block 3: 0.156938
Block 0: 1.733871
Block 1: 0.486816
Block 2: 0.324466
Block 3: 0.051436
Block 0: 2.033217
Block 1: 0.734977
Block 2: 0.583741
Block 3: 0.033879
Block 0: 1.711322
Block 1: 0.667436
Block 2: 0.468329
Block 3: 0.100530
Block 0: 1.867111
Block 1: 0.619657
Block 2: 0.499902
Block 3: 0.086599
Block 0: 1.808254
Block 1: 0.669649
Block 2: 0.437840
Block 3: 0.092559
Block 0: 1.909723
Block 1: 0.725591
Block 2: 0.697068
Block 3: 0.122587
Block 0: 1.893271
Block 1: 0.766672
Block 2: 0.505411
Block 3: 0.079041
Block 0: 2.170050
Block 1: 0.838838
Block 2: 0.595055
Block 3: 0.167906
Block 0: 1.739284
Block 1: 0.844223
Block 2: 0.590940
Block 3: 0.094109
Block 0: 2.030379
Block 1: 0.724444
Block 2: 0.545053
Block 3: 0.219009
Block 0: 2.209189
Block 1: 0.851695
Block 2: 0.503698
Block 3: 0.107156
Block 0: 1.864157
Block 1: 0.824351
Block 2: 0.400802
Block 3: 0.115890
Block 0: 2.080280
Block 1: 0.877067
Block 2: 0.433283
Block 3: 0.065882
Block 0: 1.848845
Block 1: 0.641930
Block 2: 0.426702
Block 3: 0.105560
Block 0: 1.833238
Block 1: 0.642549
Block 2: 0.393897
Block 3: 0.098386
Block 0: 1.889424
Block 1: 0.721727
Block 2: 0.506692
Block 3: 0.138123
Block 0: 1.816294
Block 1: 0.756383
Block 2: 0.453981
Block 3: 0.084686
Block 0: 1.953007
Block 1: 0.710796
Block 2: 0.344599
Block 3: 0.081399
Block 0: 1.488994
Block 1: 0.686653
Block 2: 0.439520
Block 3: 0.018740
Block 0: 1.802410
Block 1: 0.720873
Block 2: 0.465877
Block 3: 0.050004
Block 0: 1.541673
Block 1: 0.830812
Block 2: 0.560767
Block 3: 0.123695
Block 0: 2.168486
Block 1: 0.756284
Block 2: 0.601655
Block 3: 0.118224
Block 0: 1.862327
Block 1: 0.576435
Block 2: 0.370926
Block 3: 0.106707
Block 0: 1.867441
Block 1: 0.670425
Block 2: 0.613975
Block 3: 0.233812
Block 0: 2.000218
Block 1: 0.680886
Block 2: 0.441134
Block 3: 0.233970
Block 0: 1.620405
Block 1: 0.585004
Block 2: 0.407872
Block 3: 0.086427
Block 0: 1.931286
Block 1: 0.845901
Block 2: 0.674277
Block 3: 0.304097
Block 0: 1.812146
Block 1: 0.669494
Block 2: 0.530176
Block 3: 0.169693
Block 0: 1.915146
Block 1: 0.798136
Block 2: 0.532985
Block 3: 0.135643
Block 0: 1.733077
Block 1: 0.662416
Block 2: 0.450536
Block 3: 0.073863
Block 0: 2.004841
Block 1: 0.761010
Block 2: 0.520230
Block 3: 0.209873
Block 0: 1.999056
Block 1: 0.733600
Block 2: 0.443298
Block 3: 0.148727
Block 0: 1.826810
Block 1: 0.784049
Block 2: 0.499856
Block 3: 0.176997
Block 0: 1.655866
Block 1: 0.583595
Block 2: 0.370217
Block 3: 0.156360
Block 0: 1.953345
Block 1: 0.569550
Block 2: 0.488718
Block 3: 0.070368
Block 0: 1.954228
Block 1: 0.653043
Block 2: 0.685482
Block 3: 0.095327
Block 0: 1.955494
Block 1: 0.758804
Block 2: 0.561016
Block 3: 0.131078
Block 0: 1.646673
Block 1: 0.495679
Block 2: 0.381756
Block 3: 0.061922
Block 0: 1.790361
Block 1: 0.658516
Block 2: 0.289797
Block 3: 0.062509
Block 0: 1.746212
Block 1: 0.660860
Block 2: 0.428228
Block 3: 0.034126
Block 0: 1.868493
Block 1: 0.625065
Block 2: 0.453312
Block 3: 0.106354
Block 0: 1.841848
Block 1: 0.763044
Block 2: 0.635306
Block 3: 0.077890
Input points: 384
Block 0: 2.186796
Block 1: 0.818098
Block 2: 0.573468
Block 3: 0.136873
Block 0: 2.278000
Block 1: 0.851585
Block 2: 0.561197
Block 3: 0.055213
Block 0: 2.046755
Block 1: 0.750676
Block 2: 0.398133
Block 3: 0.081340
Block 0: 2.468266
Block 1: 1.013933
Block 2: 0.774378
Block 3: 0.338405
Block 0: 2.527020
Block 1: 0.931545
Block 2: 0.703758
Block 3: 0.184582
Block 0: 2.227615
Block 1: 1.006350
Block 2: 0.775576
Block 3: 0.219708
Block 0: 2.265643
Block 1: 0.890300
Block 2: 0.838012
Block 3: 0.115373
Block 0: 2.364707
Block 1: 0.853469
Block 2: 0.695147
Block 3: 0.255493
Block 0: 2.107956
Block 1: 0.804830
