Input points: 256
Block 0: 0.904437
Block 1: 0.912150
Block 2: 0.725462
Block 3: 0.969347
Block 0: 0.825194
Block 1: 0.872599
Block 2: 0.687171
Block 3: 0.949527
Block 0: 0.797310
Block 1: 0.846708
Block 2: 0.701842
Block 3: 0.925467
Block 0: 0.831890
Block 1: 0.847139
Block 2: 0.685551
Block 3: 0.954236
Block 0: 0.764947
Block 1: 0.885325
Block 2: 0.696329
Block 3: 1.005154
Block 0: 0.788520
Block 1: 0.879697
Block 2: 0.714644
Block 3: 0.934133
Block 0: 0.845412
Block 1: 0.880912
Block 2: 0.717070
Block 3: 1.019440
Block 0: 0.817617
Block 1: 0.842690
Block 2: 0.742052
Block 3: 0.974131
Block 0: 0.817097
Block 1: 0.977115
Block 2: 0.694948
Block 3: 0.968484
Block 0: 0.732495
Block 1: 0.795707
Block 2: 0.644349
Block 3: 0.975783
Block 0: 0.797835
Block 1: 0.844824
Block 2: 0.669913
Block 3: 0.970997
Block 0: 0.792325
Block 1: 0.886745
Block 2: 0.709661
Block 3: 0.973086
Block 0: 0.837381
Block 1: 0.823525
Block 2: 0.704621
Block 3: 0.933843
Block 0: 0.868994
Block 1: 0.900603
Block 2: 0.693199
Block 3: 0.991619
Block 0: 0.805657
Block 1: 0.953152
Block 2: 0.784072
Block 3: 0.962219
Block 0: 0.773169
Block 1: 0.936428
Block 2: 0.734294
Block 3: 0.956474
Block 0: 0.778082
Block 1: 0.865992
Block 2: 0.649782
Block 3: 0.926758
Block 0: 0.925527
Block 1: 0.967373
Block 2: 0.801060
Block 3: 0.992211
Block 0: 0.754986
Block 1: 0.852270
Block 2: 0.661131
Block 3: 0.959908
Block 0: 0.771952
Block 1: 0.841918
Block 2: 0.655729
Block 3: 0.953544
Block 0: 0.715426
Block 1: 0.833485
Block 2: 0.636494
Block 3: 0.952624
Block 0: 0.817156
Block 1: 0.865219
Block 2: 0.696931
Block 3: 0.913321
Block 0: 0.896408
Block 1: 0.911317
Block 2: 0.752934
Block 3: 0.984063
Block 0: 0.821198
Block 1: 0.846600
Block 2: 0.724563
Block 3: 0.946007
Block 0: 0.749367
Block 1: 0.795978
Block 2: 0.625004
Block 3: 0.949779
Block 0: 0.835089
Block 1: 0.825208
Block 2: 0.652076
Block 3: 0.873074
Block 0: 0.754795
Block 1: 0.895436
Block 2: 0.661526
Block 3: 0.950187
Block 0: 0.758292
Block 1: 0.900657
Block 2: 0.760829
Block 3: 0.956182
Block 0: 0.847364
Block 1: 0.880163
Block 2: 0.723802
Block 3: 0.946358
Block 0: 0.725975
Block 1: 0.918863
Block 2: 0.707348
Block 3: 0.970675
Block 0: 0.791822
Block 1: 0.881898
Block 2: 0.779002
Block 3: 1.024675
Block 0: 0.747518
Block 1: 0.841468
Block 2: 0.643576
Block 3: 0.942509
Block 0: 0.913592
Block 1: 0.898849
Block 2: 0.771899
Block 3: 0.976698
Block 0: 0.826013
Block 1: 0.809229
Block 2: 0.681261
Block 3: 0.871245
Block 0: 0.822902
Block 1: 0.886015
Block 2: 0.659425
Block 3: 0.929363
Block 0: 0.752030
Block 1: 0.799686
Block 2: 0.610433
Block 3: 0.921155
Block 0: 0.808644
Block 1: 0.908922
Block 2: 0.732236
Block 3: 0.996667
Block 0: 0.788828
Block 1: 0.895779
Block 2: 0.706005
Block 3: 0.933661
Block 0: 0.779037
Block 1: 0.882999
Block 2: 0.676456
Block 3: 0.986329
Block 0: 0.845987
Block 1: 0.911585
Block 2: 0.691154
Block 3: 0.992556
Block 0: 0.801513
Block 1: 0.856112
Block 2: 0.671275
Block 3: 0.997617
Block 0: 0.834719
Block 1: 0.874479
Block 2: 0.740715
Block 3: 0.952179
Block 0: 0.817992
Block 1: 0.910723
Block 2: 0.759620
Block 3: 0.943652
Block 0: 0.831619
Block 1: 0.898938
Block 2: 0.776141
Block 3: 0.990746
Block 0: 0.915672
Block 1: 0.873350
Block 2: 0.673767
Block 3: 0.959415
Block 0: 0.872704
Block 1: 0.904600
Block 2: 0.739562
Block 3: 0.945092
Block 0: 0.798094
Block 1: 0.850175
Block 2: 0.735617
Block 3: 0.966506
Block 0: 0.792797
Block 1: 0.877980
Block 2: 0.663997
Block 3: 0.911810
Block 0: 0.745924
Block 1: 0.829695
Block 2: 0.669092
Block 3: 0.928169
Block 0: 0.801656
Block 1: 0.791328
Block 2: 0.667467
Block 3: 0.949486
Block 0: 0.670678
Block 1: 0.763382
Block 2: 0.611539
Block 3: 0.992394
Block 0: 0.870265
Block 1: 0.920525
Block 2: 0.769474
Block 3: 0.982733
Block 0: 0.778610
Block 1: 0.943566
Block 2: 0.731540
Block 3: 0.986881
Block 0: 0.855142
Block 1: 0.914632
Block 2: 0.729305
Block 3: 1.028883
Block 0: 0.748888
Block 1: 0.804126
Block 2: 0.630734
Block 3: 0.971375
Block 0: 0.851012
Block 1: 0.851299
Block 2: 0.707699
Block 3: 0.963998
Block 0: 0.839649
Block 1: 0.928378
Block 2: 0.731967
Block 3: 0.947210
Block 0: 0.833432
Block 1: 0.929912
Block 2: 0.713834
Block 3: 0.931580
Block 0: 0.869824
Block 1: 0.927449
Block 2: 0.773094
Block 3: 0.941416
Block 0: 0.874010
Block 1: 0.943791
Block 2: 0.746169
Block 3: 0.977504
Block 0: 0.782235
Block 1: 0.817462
Block 2: 0.669827
Block 3: 0.953484
Block 0: 0.691567
Block 1: 0.754519
Block 2: 0.616066
Block 3: 0.970674
Block 0: 0.733255
Block 1: 0.935362
Block 2: 0.693625
Block 3: 0.929341
Block 0: 0.837330
Block 1: 0.886174
Block 2: 0.750349
Block 3: 0.958907
Block 0: 0.837765
Block 1: 0.913860
Block 2: 0.724303
Block 3: 0.968264
Block 0: 0.773742
Block 1: 0.932145
Block 2: 0.711549
Block 3: 0.969621
Block 0: 0.694806
Block 1: 0.901098
Block 2: 0.660806
Block 3: 0.979407
Block 0: 0.854308
Block 1: 0.894258
Block 2: 0.790938
Block 3: 0.998223
Block 0: 0.841363
Block 1: 0.892109
Block 2: 0.785461
Block 3: 0.921467
Block 0: 0.838901
Block 1: 0.866908
Block 2: 0.670199
Block 3: 0.899404
Block 0: 0.730164
Block 1: 0.870829
Block 2: 0.691206
Block 3: 0.943593
Block 0: 0.857936
Block 1: 0.842812
Block 2: 0.707154
Block 3: 0.936316
Block 0: 0.760569
Block 1: 0.837736
Block 2: 0.676626
Block 3: 0.968003
Block 0: 0.789244
Block 1: 0.858159
Block 2: 0.670907
Block 3: 0.913638
Block 0: 0.782920
Block 1: 0.916985
Block 2: 0.723896
Block 3: 0.950177
Block 0: 0.860720
Block 1: 0.928986
Block 2: 0.742986
Block 3: 1.036197
Block 0: 0.727493
Block 1: 0.873147
Block 2: 0.683130
Block 3: 0.936864
Block 0: 0.801044
Block 1: 0.858989
Block 2: 0.676361
Block 3: 0.976867
Block 0: 0.658445
Block 1: 0.747593
Block 2: 0.614945
Block 3: 1.028238
Block 0: 0.715336
Block 1: 0.775296
Block 2: 0.639013
Block 3: 0.950678
Block 0: 0.883977
Block 1: 0.862170
Block 2: 0.720456
Block 3: 0.926816
Block 0: 0.873106
Block 1: 0.959406
Block 2: 0.760563
Block 3: 1.000429
Block 0: 0.894782
Block 1: 0.926287
Block 2: 0.729659
Block 3: 0.977035
Block 0: 0.801677
Block 1: 0.950180
Block 2: 0.694193
Block 3: 1.011249
Block 0: 0.744250
Block 1: 0.786539
Block 2: 0.650951
Block 3: 0.980795
Block 0: 0.838637
Block 1: 0.866515
Block 2: 0.703753
Block 3: 0.958254
Block 0: 0.777568
Block 1: 0.945614
Block 2: 0.737114
Block 3: 1.017969
Block 0: 0.825127
Block 1: 0.824951
Block 2: 0.688490
Block 3: 0.965116
Block 0: 0.737252
Block 1: 0.852111
Block 2: 0.694829
Block 3: 0.907631
Block 0: 0.690800
Block 1: 0.782371
Block 2: 0.603708
Block 3: 0.894491
Block 0: 0.764077
Block 1: 0.852136
Block 2: 0.680503
Block 3: 0.996160
Block 0: 0.741726
Block 1: 0.865573
Block 2: 0.691187
Block 3: 0.955503
Block 0: 0.748240
Block 1: 0.856565
Block 2: 0.701561
Block 3: 0.960593
Block 0: 0.741924
Block 1: 0.984904
Block 2: 0.736647
Block 3: 1.002957
Block 0: 0.819489
Block 1: 0.869291
Block 2: 0.688884
Block 3: 0.934054
Block 0: 0.946569
Block 1: 0.887652
Block 2: 0.731656
Block 3: 1.011313
Block 0: 0.733694
Block 1: 0.763083
Block 2: 0.617180
Block 3: 0.955791
Block 0: 0.764289
Block 1: 0.848232
Block 2: 0.707766
Block 3: 0.935563
Block 0: 0.845366
Block 1: 0.748625
Block 2: 0.625461
Block 3: 0.933805
Block 0: 0.777522
Block 1: 0.924664
Block 2: 0.756271
Block 3: 0.999328
Block 0: 0.726184
Block 1: 0.922114
Block 2: 0.647113
Block 3: 0.994882
Block 0: 0.704897
Block 1: 0.849504
Block 2: 0.643562
Block 3: 0.922519
Block 0: 0.903058
Block 1: 0.849439
Block 2: 0.773850
Block 3: 0.946792
Block 0: 0.768273
Block 1: 0.919699
Block 2: 0.679523
Block 3: 0.962448
Block 0: 0.831414
Block 1: 0.822104
Block 2: 0.664248
Block 3: 0.939638
Block 0: 0.834523
Block 1: 0.915785
Block 2: 0.777446
Block 3: 0.975032
Block 0: 0.885602
Block 1: 0.957880
Block 2: 0.728233
Block 3: 0.970157
Block 0: 0.840702
Block 1: 0.842508
Block 2: 0.716026
Block 3: 0.927892
Block 0: 0.777287
Block 1: 0.854102
Block 2: 0.649032
Block 3: 0.868658
Block 0: 0.792116
Block 1: 0.856903
Block 2: 0.666126
Block 3: 0.952672
Block 0: 0.840928
Block 1: 0.906608
Block 2: 0.751451
Block 3: 1.027788
Block 0: 0.816918
Block 1: 0.925990
Block 2: 0.733483
Block 3: 0.945834
Block 0: 0.894225
Block 1: 0.836118
Block 2: 0.685191
Block 3: 0.929922
Block 0: 0.735952
Block 1: 0.932908
Block 2: 0.710448
Block 3: 0.989607
Block 0: 0.744743
Block 1: 0.840575
Block 2: 0.651093
Block 3: 0.975977
Block 0: 0.769412
Block 1: 0.963422
Block 2: 0.741596
Block 3: 0.969246
Block 0: 0.745106
Block 1: 0.871769
Block 2: 0.696295
Block 3: 0.987076
Block 0: 0.829602
Block 1: 0.876901
Block 2: 0.736810
Block 3: 0.992011
Block 0: 0.809947
Block 1: 0.859157
Block 2: 0.637638
Block 3: 0.949070
Block 0: 0.613365
Block 1: 0.782526
Block 2: 0.578199
Block 3: 1.004483
Block 0: 0.842521
Block 1: 0.767785
Block 2: 0.614837
Block 3: 0.890969
Block 0: 0.818755
Block 1: 0.883701
Block 2: 0.676556
Block 3: 0.967297
Block 0: 0.895472
Block 1: 0.880405
Block 2: 0.717406
Block 3: 0.962370
Block 0: 0.735928
Block 1: 0.897289
Block 2: 0.632760
Block 3: 0.987187
Block 0: 0.692956
Block 1: 0.737616
Block 2: 0.622778
Block 3: 0.920540
Block 0: 0.686903
Block 1: 0.857537
Block 2: 0.640877
Block 3: 0.899385
Block 0: 0.810613
Block 1: 0.874113
Block 2: 0.647980
Block 3: 0.983608
Block 0: 0.829069
Block 1: 0.902770
Block 2: 0.687242
Block 3: 0.971923
Block 0: 0.710966
Block 1: 0.878357
Block 2: 0.655197
Block 3: 0.945049
Block 0: 0.860093
Block 1: 0.907291
Block 2: 0.688786
Block 3: 0.947526
Block 0: 0.809981
Block 1: 0.952688
Block 2: 0.765903
Block 3: 0.973889
Block 0: 0.779434
Block 1: 0.852788
Block 2: 0.702015
Block 3: 0.881275
Block 0: 0.825213
Block 1: 0.932524
Block 2: 0.769934
Block 3: 1.004854
Block 0: 0.807521
Block 1: 0.879205
Block 2: 0.728697
Block 3: 0.961553
Block 0: 0.792916
Block 1: 0.867431
Block 2: 0.742064
Block 3: 0.883260
Block 0: 0.702596
Block 1: 0.771471
Block 2: 0.620267
Block 3: 0.949041
Block 0: 0.863518
Block 1: 0.902514
Block 2: 0.725149
Block 3: 0.995908
Block 0: 0.757512
Block 1: 0.829109
Block 2: 0.627409
Block 3: 0.914033
Block 0: 0.801259
Block 1: 0.893372
Block 2: 0.687529
Block 3: 1.013800
Block 0: 0.801270
Block 1: 0.842678
Block 2: 0.613748
Block 3: 0.944001
Block 0: 0.851870
Block 1: 0.862182
Block 2: 0.663324
Block 3: 0.974954
Block 0: 0.713648
Block 1: 0.883213
Block 2: 0.624618
Block 3: 0.905684
Block 0: 0.834787
Block 1: 0.974339
Block 2: 0.801194
Block 3: 1.022990
Block 0: 0.831621
Block 1: 0.856636
Block 2: 0.691326
Block 3: 0.969118
Block 0: 0.787717
Block 1: 0.843089
Block 2: 0.673087
Block 3: 0.927202
Block 0: 0.781933
Block 1: 0.892524
Block 2: 0.710694
Block 3: 0.947554
Block 0: 0.732185
Block 1: 0.855048
Block 2: 0.679543
Block 3: 0.966350
Block 0: 0.897112
Block 1: 0.903307
Block 2: 0.785426
Block 3: 0.907957
Block 0: 0.649995
Block 1: 0.802688
Block 2: 0.635759
Block 3: 0.935490
Block 0: 0.787763
Block 1: 0.880048
Block 2: 0.656909
Block 3: 0.964610
Block 0: 0.734870
Block 1: 0.804892
Block 2: 0.681278
Block 3: 0.970505
