Namespace(model='pct', exp_name='train_pct', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=100, use_sgd=True, lr=5e-05, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=512, dropout=0.5, model_path='', local_rank=0, cuda=True)
Test 87, loss: 1.573332, test acc: 0.881068, test avg acc: 0.799377
Train 88, loss: 1.543998, train acc: 0.910539, train avg acc: 0.867389
Test 88, loss: 1.574029, test acc: 0.876214, test avg acc: 0.792814
Train 89, loss: 1.558012, train acc: 0.909314, train avg acc: 0.855438
Test 89, loss: 1.575831, test acc: 0.883495, test avg acc: 0.801300
Train 90, loss: 1.537960, train acc: 0.920956, train avg acc: 0.865084
Test 90, loss: 1.571601, test acc: 0.883495, test avg acc: 0.810488
Train 91, loss: 1.540299, train acc: 0.920956, train avg acc: 0.869976
Test 91, loss: 1.570572, test acc: 0.876214, test avg acc: 0.789655
Train 92, loss: 1.546908, train acc: 0.917279, train avg acc: 0.868116
Test 92, loss: 1.568925, test acc: 0.881068, test avg acc: 0.799377
Train 93, loss: 1.539940, train acc: 0.918505, train avg acc: 0.861224
Test 93, loss: 1.572389, test acc: 0.883495, test avg acc: 0.801460
Train 94, loss: 1.551293, train acc: 0.909314, train avg acc: 0.862529
Test 94, loss: 1.570528, test acc: 0.883495, test avg acc: 0.807710
Train 95, loss: 1.544132, train acc: 0.920956, train avg acc: 0.875456
Test 95, loss: 1.572436, test acc: 0.878641, test avg acc: 0.791044
Train 96, loss: 1.557900, train acc: 0.908088, train avg acc: 0.859968
Test 96, loss: 1.570388, test acc: 0.878641, test avg acc: 0.791044
Train 97, loss: 1.569526, train acc: 0.906863, train avg acc: 0.851673
Test 97, loss: 1.570285, test acc: 0.878641, test avg acc: 0.791404
Train 98, loss: 1.551166, train acc: 0.906250, train avg acc: 0.862100
Test 98, loss: 1.571835, test acc: 0.878641, test avg acc: 0.791044
Train 99, loss: 1.545732, train acc: 0.909926, train avg acc: 0.860739
Test 99, loss: 1.571947, test acc: 0.883495, test avg acc: 0.807710
